shipment_id,origin_hub,destination_port,transport_mode,transit_duration_hours,cargo_weight_tonnes,freight_cost_usd,fuel_consumption_liters,customs_clearance_delay_hours,co2_emissions_kg,on_time_delivery_pct,risk_tier
SHP-0001,Hamburg Mega Hub,New York Terminal,Air Cargo,24.3,4.8,25595.47,5170.2,3.9,13701,97,Moderate Tier
SHP-0002,Rotterdam Gateway,Felixstowe Port,Intermodal Rail,149.8,22.4,8585.55,5323,8.1,14372.1,95.5,Elevated Watch
SHP-0003,Singapore Terminal,Sydney Harbor,Express Maritime,89.4,36.5,7540.87,3677.4,14.6,9929,92.4,Critical Route
SHP-0004,Busan Harbor,Tokyo Sea Port,Ocean Freight,243.9,83.2,3808.2,6429.7,26,18003.2,83.1,Low Risk
SHP-0005,Dubai Logistics City,Santos Hub,Air Cargo,35.5,4.7,25966.81,5427.7,6.7,14383.4,94.6,Moderate Tier
SHP-0006,Shenzhen Tech Port,Long Beach Gateway,Intermodal Rail,108.7,32.4,6452.7,4367.7,12.2,11792.8,95.6,Elevated Watch
SHP-0007,Hamburg Mega Hub,New York Terminal,Express Maritime,80.4,41.2,5731.74,5925.3,20.3,15998.3,90.5,Critical Route
SHP-0008,Rotterdam Gateway,Felixstowe Port,Ocean Freight,352.5,70.2,7401.75,9066,12.1,25384.8,90.1,Low Risk
SHP-0009,Singapore Terminal,Sydney Harbor,Air Cargo,39.7,9.3,23652.53,5389.1,6.3,14281.1,96,Moderate Tier
SHP-0010,Busan Harbor,Tokyo Sea Port,Intermodal Rail,143.4,28.6,5654.33,5324.2,11.4,14375.3,89.6,Elevated Watch
SHP-0011,Dubai Logistics City,Santos Hub,Express Maritime,132.4,15.7,9378.36,5198.9,17.8,14037,89.2,Critical Route
SHP-0012,Shenzhen Tech Port,Long Beach Gateway,Ocean Freight,345.4,73.2,7174.19,9376.6,19.4,26254.5,88.7,Low Risk
SHP-0013,Hamburg Mega Hub,New York Terminal,Air Cargo,53,8.7,15482.34,7934.8,2.3,21027.2,90.3,Moderate Tier
SHP-0014,Rotterdam Gateway,Felixstowe Port,Intermodal Rail,412,48.5,28500,14200,184.5,36800,18,Elevated Watch
SHP-0015,Singapore Terminal,Sydney Harbor,Express Maritime,132.7,32.4,10447.41,3872,21.3,10454.4,93.5,Critical Route
SHP-0016,Busan Harbor,Tokyo Sea Port,Ocean Freight,285.5,93.5,5697.3,9432.9,28.5,26412.1,87,Low Risk
SHP-0017,Dubai Logistics City,Santos Hub,Air Cargo,58.6,1.6,22627.72,7161.5,6.2,18978,91.3,Moderate Tier
SHP-0018,Shenzhen Tech Port,Long Beach Gateway,Intermodal Rail,126.8,41.8,5739.77,5941.8,19.8,16042.9,88.7,Elevated Watch
SHP-0019,Hamburg Mega Hub,New York Terminal,Express Maritime,144.8,21,8331.29,3432.8,16.9,9268.6,82.3,Critical Route
SHP-0020,Rotterdam Gateway,Felixstowe Port,Ocean Freight,349.8,98.6,5324.3,8721.8,13.1,24421,90.6,Low Risk
SHP-0021,Singapore Terminal,Sydney Harbor,Air Cargo,32.1,3.1,21724.08,6385.7,10,16922.1,92.8,Moderate Tier
SHP-0022,Busan Harbor,Tokyo Sea Port,Intermodal Rail,143,27.5,10483.01,5661.1,21.3,15285,83.6,Elevated Watch
SHP-0023,Dubai Logistics City,Santos Hub,Express Maritime,147.2,41.8,9075.06,3821.6,7.9,10318.3,88.1,Critical Route
SHP-0024,Shenzhen Tech Port,Long Beach Gateway,Ocean Freight,262.2,74.9,5430,7688.1,20.7,21526.7,80.5,Low Risk
SHP-0025,Hamburg Mega Hub,New York Terminal,Air Cargo,45.6,7.3,20296.02,6087,6.7,16130.5,90,Moderate Tier
SHP-0026,Rotterdam Gateway,Felixstowe Port,Intermodal Rail,102.5,29.3,8889.76,4134.6,21.7,11163.4,82.4,Elevated Watch
SHP-0027,Singapore Terminal,Sydney Harbor,Express Maritime,119.7,20.4,10023.88,4760.8,22.7,12854.2,91.6,Critical Route
SHP-0028,Busan Harbor,Tokyo Sea Port,Ocean Freight,310.3,70.2,3555.76,7349.6,33.4,20578.9,93,Low Risk
SHP-0029,Dubai Logistics City,Santos Hub,Air Cargo,57.3,1.9,17548.9,7201.4,2.6,19083.7,98.4,Moderate Tier
SHP-0030,Shenzhen Tech Port,Long Beach Gateway,Intermodal Rail,117.8,51.1,5786.71,5335.6,7.5,14406.1,82.5,Elevated Watch
SHP-0031,Hamburg Mega Hub,New York Terminal,Express Maritime,149.5,53.9,9521.53,5927.9,12.7,16005.3,94.8,Critical Route
SHP-0032,Rotterdam Gateway,Felixstowe Port,Ocean Freight,261,88.6,4110.39,9713.6,47.8,27198.1,72.7,Low Risk
SHP-0033,Singapore Terminal,Sydney Harbor,Air Cargo,56.9,1.6,26007.5,7996.4,8.3,21190.5,94.3,Moderate Tier
